"time","status","massege","locations"
"05/11/2022, 20:02:45","Tiredness indications",,"340"
"05/11/2022, 20:02:45","distractions",,"340"
"05/11/2022, 20:02:45","Tiredness indications",,"340"
"05/11/2022, 20:02:45","Tiredness indications",,"340"
"05/11/2022, 20:02:46","distractions",,"340"
"05/11/2022, 20:02:46","distractions",,"340"
"05/11/2022, 20:02:46","Tiredness indications",,"340"
"05/11/2022, 20:02:46","distractions",,"340"
"05/11/2022, 20:02:47","fell asleep",,"340"
"05/11/2022, 20:02:47","distractions",,"340"
"05/11/2022, 20:02:47","fell asleep",,"340"
"05/11/2022, 20:02:48","distractions",,"340"
"05/11/2022, 20:02:48","distractions",,"340"
"05/11/2022, 20:02:48","distractions",,"340"
"05/11/2022, 20:02:48","distractions",,"340"
"05/11/2022, 20:02:49","fell asleep",,"340"
